plate_position,aryl_halide_smiles,nucleophile_smiles,catalyst_smiles,catalyst_name,base_smiles,base_name,yield_percent,product_smiles
H10,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CC(P(C(C)(C)C)C(C)(C)C)C1=C(C([Fe]C2C=CC=C2)C=C1)[P]([Pd]3(OS(C)(=O)=O)C4=CC=CC=C4C5=C([NH2]3)C=CC=C5)(C6CCCCC6)C7CCCCC7,J009 Pd G3 39,CN1P(N(CC)CC)(N(C)CCC1)=NC(C)(C)C,BEMP 27,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H11,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CC(P(C(C)(C)C)C(C)(C)C)C1=C(C([Fe]C2C=CC=C2)C=C1)[P]([Pd]3(OS(C)(=O)=O)C4=CC=CC=C4C5=C([NH2]3)C=CC=C5)(C6CCCCC6)C7CCCCC7,J009 Pd G3 39,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H12,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CC(P(C(C)(C)C)C(C)(C)C)C1=C(C([Fe]C2C=CC=C2)C=C1)[P]([Pd]3(OS(C)(=O)=O)C4=CC=CC=C4C5=C([NH2]3)C=CC=C5)(C6CCCCC6)C7CCCCC7,J009 Pd G3 39,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H13,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C23C[C@@H](C[C@H]4C3)C[C@@H](C4)C2)(C56C[C@@H](C[C@H]7C6)C[C@@H](C7)C5)C8=C(N9CCOCC9)C=CC=C8)C%10=CC=CC=C%10C%11=C([NH2]1)C=CC=C%11)(=O)=O,MorDalPhos Pd G3 40,C12=NCCCN1CCCCC2,DBU 24,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H14,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C23C[C@@H](C[C@H]4C3)C[C@@H](C4)C2)(C56C[C@@H](C[C@H]7C6)C[C@@H](C7)C5)C8=C(N9CCOCC9)C=CC=C8)C%10=CC=CC=C%10C%11=C([NH2]1)C=CC=C%11)(=O)=O,MorDalPhos Pd G3 40,CN1CCCN2C1=NCCC2,MTBD 25,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H15,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C23C[C@@H](C[C@H]4C3)C[C@@H](C4)C2)(C56C[C@@H](C[C@H]7C6)C[C@@H](C7)C5)C8=C(N9CCOCC9)C=CC=C8)C%10=CC=CC=C%10C%11=C([NH2]1)C=CC=C%11)(=O)=O,MorDalPhos Pd G3 40,CN(C)/C(N(C)C)=N\C(C)(C)C,BTMG 26,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H16,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C23C[C@@H](C[C@H]4C3)C[C@@H](C4)C2)(C56C[C@@H](C[C@H]7C6)C[C@@H](C7)C5)C8=C(N9CCOCC9)C=CC=C8)C%10=CC=CC=C%10C%11=C([NH2]1)C=CC=C%11)(=O)=O,MorDalPhos Pd G3 40,CN1P(N(CC)CC)(N(C)CCC1)=NC(C)(C)C,BEMP 27,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H17,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C23C[C@@H](C[C@H]4C3)C[C@@H](C4)C2)(C56C[C@@H](C[C@H]7C6)C[C@@H](C7)C5)C8=C(N9CCOCC9)C=CC=C8)C%10=CC=CC=C%10C%11=C([NH2]1)C=CC=C%11)(=O)=O,MorDalPhos Pd G3 40,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H18,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C23C[C@@H](C[C@H]4C3)C[C@@H](C4)C2)(C56C[C@@H](C[C@H]7C6)C[C@@H](C7)C5)C8=C(N9CCOCC9)C=CC=C8)C%10=CC=CC=C%10C%11=C([NH2]1)C=CC=C%11)(=O)=O,MorDalPhos Pd G3 40,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H19,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C(OC)=CC=C4OC)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,BrettPhos Pd G3 41,C12=NCCCN1CCCCC2,DBU 24,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H20,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C(OC)=CC=C4OC)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,BrettPhos Pd G3 41,CN1CCCN2C1=NCCC2,MTBD 25,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
